ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Бренд,"Meta: recommend_product","Meta: post_views_count","Meta: ekit_post_views_count","Meta: _wpcom_is_markdown","Meta: _last_editor_used_jetpack","Meta: phabis_product_id","Meta: _phabis_product_id","Meta: _qa_cog_cost","Meta: _alg_wc_cog_cost","Meta: ocean_sidebar","Meta: ocean_second_sidebar","Meta: ocean_disable_margins","Meta: ocean_display_top_bar","Meta: ocean_display_header","Meta: ocean_center_header_left_menu","Meta: ocean_custom_header_template","Meta: ocean_header_custom_menu","Meta: ocean_menu_typo_font_family","Meta: ocean_disable_title","Meta: ocean_disable_heading","Meta: ocean_disable_breadcrumbs","Meta: ocean_display_footer_widgets","Meta: ocean_display_footer_bottom","Meta: ocean_custom_footer_template","Meta: ofc_enable_fullscreen","Meta: ofc_fullscreen_nav","Meta: ofc_fullscreen_nav_pos","Meta: osh_disable_topbar_sticky","Meta: osh_disable_header_sticky","Meta: osh_sticky_header_style","Meta: _yoast_wpseo_primary_pwb-brand","Meta: _yoast_wpseo_primary_product_cat","Meta: _yoast_wpseo_estimated-reading-time-minutes","Meta: __product_views_count","Meta: rs_page_bg_color","Meta: page_sidebar_layout","Meta: page_sidebar_template","Meta: featured_video_product","Meta: newproduct","Meta: _yoast_wpseo_wordproof_timestamp","Meta: _yoast_wpseo_content_score","Meta: _yoast_wpseo_metadesc","Meta: _wp_old_date"
7892,simple,,"^AJ CRATECOR filter 20 x 2gr",1,0,visible,,,,,taxable,reduced-rate,1,3,,0,0,,,,,1,ALKALOID,,55,"Витамини и суплементи > Чаеви и билни препарати",,,,,,,,,,,,0,,0,214,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7893,simple,,"^aj DETOX MIX",1,0,visible,,,,,taxable,reduced-rate,1,3,,0,0,,,,,1,BAYER,,110,"Витамини и суплементи > Чаеви и билни препарати",,,,,,,,,,,,0,,0,291,292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7894,simple,,"^AJ DETSKI filter 20 x 1.5gr",1,0,visible,,,,,taxable,reduced-rate,0,0,,0,0,,,,,1,ALKALOID,,42,"Витамини и суплементи > Чаеви и билни препарати",,,,,,,,,,,,0,,0,199,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7895,simple,,"VICHY Liftactive Supreme дневна крема за сува до многу сува кожа  50ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,2485,"Нега и заштита > Кожа, Нега и заштита",,,https://lifeline.mk/wp-content/uploads/2021/11/vichy-las-d-to-vd.jpg,,,,,,,,,0,"LiftActiv,Vichy",0,239,240,,classic-editor,40b25c01-7fd0-4ce5-8aa1-fba006be5512,field_6081ae4f27756,1586,1586,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,disable,enable,right,default,default,default,304,,0,,,,,,0,,,
7896,simple,,"80713-NIVEA FRESH COMFORT intimna nega i higiena 250ml",1,0,visible,,,,,taxable,,0,0,,0,0,,,,,1,"ATLANTIC TRADE",,235,"Нега и заштита > Сексуално здравје и интимна нега",,,,,,,,,,,,0,,0,214,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7897,simple,,"VICHY Liftactive Supreme ноќна крема за сите типови на кожа   50ml",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,2590,"Нега и заштита > Кожа, Нега и заштита",,,https://lifeline.mk/wp-content/uploads/2021/11/vichy-las-night.jpg,,,,,,,,,0,"LiftActiv,Vichy",0,188,189,,classic-editor,e6d90f95-3165-4f54-b10b-7cfa44bc9451,field_6081ae4f27756,1632,1632,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,disable,enable,right,default,default,default,304,,0,,,,,,0,,,
7898,simple,,"ABRI MAN PREMIUM X14",1,0,visible,,,,,taxable,reduced-rate,0,0,,0,0,,,,,1,BAYERSDORF,,320,"Витамини и суплементи > Уринарен систем",,,,,,,,,,,,0,,0,159,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7899,simple,,"ABRI-FLEX L3 PREMIUMX14",1,0,visible,,,,,taxable,reduced-rate,0,0,,0,0,,,,,1,"ФЕНИКС ФАРМА - СКОПЈЕ",,730,"Витамини и суплементи > Уринарен систем",,,,,,,,,,,,0,,0,146,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7900,simple,,"ACC 600mg 10eff.(acetylcysteinum)",1,0,visible,,,,,taxable,reduced-rate,1,4,,0,0,,,,,1,"LEK OTC",,250,"Настинка и грип > Кашлица",,,,,,,,,,,,0,,0,486,487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7901,simple,,"ACC DIRECT KESI 10X 600 mg",1,0,visible,,,,,taxable,reduced-rate,0,0,,0,0,,,,,1,"LEK OTC",,240,"Настинка и грип > Кашлица",,,,,,,,,,,,0,,0,405,406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7902,simple,,"ACC JUNIOR 200mg/ml sol 100ml",1,0,visible,,,,,taxable,reduced-rate,1,1,,0,0,,,,,1,"LEK OTC",,220,"Настинка и грип > Кашлица",,,,,,,,,,,,0,,0,233,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7903,simple,,"ND PHYTOSOLUTION GEL 400ML",1,0,visible,,,,,taxable,,1,1,,notify,0,,,,,0,,,1460,"Нега и заштита > Кожа, Нега и заштита",,,https://lifeline.mk/wp-content/uploads/2021/11/ND-PHYTOSOLUTION-GEL-400ML.jpg,,,,,,,,,0,Vichy,0,252,253,,classic-editor,a6f21110-5b44-4a8b-91df-032964583a2b,field_6081ae4f27756,944,944,0,0,enable,default,default,0,0,0,0,default,default,default,default,default,0,disable,enable,right,default,default,default,,,0,,,,,,0,,,
7904,simple,,"ACEROLA 30tbl x 500mg -bls",1,0,visible,,,,,taxable,reduced-rate,1,3,,0,0,,,,,1,"ALKALOID OTC",,360,"Витамини и суплементи > Имунитет",,,,,,,,,,,,0,,0,125,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7906,simple,,"ACEROLA tbl.30 x 40mg-blister",1,0,visible,,,,,taxable,reduced-rate,1,3,,0,0,,,,,1,"ALKALOID OTC",,290,"Витамини и суплементи > Имунитет",,,,,,,,,,,,0,,0,283,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
